"filename", "language", "Shell Script", "Markdown", "Docker", "YAML", "Ruby", "Makefile", "Ini", "Properties", "TOML", "comment", "blank", "total"
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/main/test-data/sudo-command.zsh", "Shell Script", 19, 0, 0, 0, 0, 0, 0, 0, 0, 32, 4, 55
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/main/test-data/sudo-comment.zsh", "Shell Script", 8, 0, 0, 0, 0, 0, 0, 0, 0, 28, 4, 40
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/main/test-data/sudo-longopt.zsh", "Shell Script", 7, 0, 0, 0, 0, 0, 0, 0, 0, 29, 3, 39
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/main/test-data/sudo-redirection.zsh", "Shell Script", 17, 0, 0, 0, 0, 0, 0, 0, 0, 28, 4, 49
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/main/test-data/sudo-redirection2.zsh", "Shell Script", 10, 0, 0, 0, 0, 0, 0, 0, 0, 28, 4, 42
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/main/test-data/sudo-redirection3.zsh", "Shell Script", 10, 0, 0, 0, 0, 0, 0, 0, 0, 28, 4, 42
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/main/test-data/tilde-command-word.zsh", "Shell Script", 6, 0, 0, 0, 0, 0, 0, 0, 0, 28, 4, 38
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/main/test-data/time-and-nocorrect1.zsh", "Shell Script", 8, 0, 0, 0, 0, 0, 0, 0, 0, 29, 3, 40
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/main/test-data/time-and-nocorrect2.zsh", "Shell Script", 9, 0, 0, 0, 0, 0, 0, 0, 0, 29, 3, 41
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/main/test-data/unbackslash.zsh", "Shell Script", 4, 0, 0, 0, 0, 0, 0, 0, 0, 28, 3, 35
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/main/test-data/unknown-command.zsh", "Shell Script", 4, 0, 0, 0, 0, 0, 0, 0, 0, 28, 3, 35
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/main/test-data/vanilla-newline.zsh", "Shell Script", 9, 0, 0, 0, 0, 0, 0, 0, 0, 28, 3, 40
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/main/test-data/vi-linewise-mode.zsh", "Shell Script", 12, 0, 0, 0, 0, 0, 0, 0, 0, 29, 3, 44
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/pattern/README.md", "Markdown", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 9, 25
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/pattern/pattern-highlighter.zsh", "Shell Script", 23, 0, 0, 0, 0, 0, 0, 0, 0, 32, 6, 61
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/pattern/test-data/rm-rf.zsh", "Shell Script", 5, 0, 0, 0, 0, 0, 0, 0, 0, 28, 4, 37
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/regexp/README.md", "Markdown", 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 18, 66
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/regexp/regexp-highlighter.zsh", "Shell Script", 26, 0, 0, 0, 0, 0, 0, 0, 0, 31, 6, 63
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/regexp/test-data/complex.zsh", "Shell Script", 6, 0, 0, 0, 0, 0, 0, 0, 0, 28, 4, 38
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/regexp/test-data/subexpression.zsh", "Shell Script", 5, 0, 0, 0, 0, 0, 0, 0, 0, 29, 3, 37
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/regexp/test-data/word-boundary.zsh", "Shell Script", 10, 0, 0, 0, 0, 0, 0, 0, 0, 28, 5, 43
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/root/README.md", "Markdown", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 10, 26
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/root/root-highlighter.zsh", "Shell Script", 9, 0, 0, 0, 0, 0, 0, 0, 0, 31, 5, 45
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/release.md", "Markdown", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 2, 22
